tag,L,N_front,fs_old,fs_match_diff,full_front_frames,tail_raw_range,tail_frames,front_frames_out,side_mask_px,side_frames_in,side_tail_detect,side_frames_out,note,side_head_range,side_head_detect,error
D8_S3,333.0,116617.0,3384.0,0.36,120650.0,120001-120333,333.0,116617.0,200.0,116617.0,332/333 maxgap 1,116617.0,,,,
D8_S4,333.0,36259.0,3335.0,0.33,40340.0,39594-39926,333.0,36259.0,200.0,36259.0,330/333 maxgap 2,36259.0,,,,
D9_S1,334.0,95848.0,5954.0,0.35,103240.0,101802-102135,334.0,95848.0,300.0,95848.0,307/334 maxgap 11,95848.0,,,,
D9_S2,335.0,33616.0,6229.0,0.33,40375.0,39845-40179,335.0,33616.0,200.0,33616.0,308/335 maxgap 27,33616.0,,,,
D9_S3,333.0,60514.0,1615.0,0.33,64350.0,62129-62461,333.0,60514.0,200.0,60514.0,308/333 maxgap 4,60514.0,,,,
D9_S4,335.0,33883.0,1122.0,0.29,35995.0,35005-35339,335.0,33883.0,200.0,33883.0,334/335 maxgap 1,33883.0,,,,
D3_S4,338.0,37924.0,1735.0,0.29,40439.0,39659-39996,338.0,37924.0,200.0,37924.0,338/338 maxgap 0,37924.0,,,,
D19_S1,334.0,41449.0,6899.0,0.36,48885.0,48348-48681,334.0,41449.0,200.0,41449.0,321/334 maxgap 3,41449.0,,,,
D18_S1,331.0,58752.0,6692.0,0.27,66070.0,65444-65774,331.0,58752.0,200.0,58752.0,294/331 maxgap 10,58752.0,,,,
D16_S3,335.0,74324.0,5542.0,0.37,80610.0,79866-80200,335.0,74324.0,200.0,74324.0,108/335 maxgap 27,74324.0,,,,
D4_S1,330.0,67960.0,7192.0,0.33,76610.0,75152-75481,330.0,67960.0,200.0,67960.0,214/330 maxgap 59,67960.0,,,,
D10_S1,332.0,96706.0,5609.0,1.64,103735.0,102315-102646,332.0,96706.0,300.0,96706.0,329/332 maxgap 2,96706.0,,,,
D15_S1,336.0,87423.0,2167.0,1.82,90349.0,89590-89925,336.0,87423.0,200.0,87423.0,332/336 maxgap 4,87423.0,,,,
D4_S2,333.0,32782.0,4070.0,1.65,37670.0,36852-37184,333.0,32782.0,200.0,32782.0,328/333 maxgap 3,32782.0,,,,
